"","player","year","draft_year","qbr_pct","mean_epa","grades_offense","cpoe","pressure_to_sack_rate","dropbacks","qbr_pct_tot","mean_epa_tot","grade_avg","cpoe_tot","ptsr_tot","plays_tot"
"48","Josh Allen",2025,2018,0.928515570541088,0.194126623035988,90.5,3.94958222647393,18.6,642,0.972361552079109,0.177106759004031,86.2542631281762,2.1290907830839,0.136411332633788,5805
"49","Ryan Tannehill",2019,2012,0.92701571066402,0.194375388931662,90.2,6.36181240619467,28.6,405,0.787563695764108,0.0411447439112735,75.8522718944668,1.50029000300119,0.21996879875195,5646
"50","Tom Brady",2010,2000,0.926853968671974,0.239684488024597,86,2.86705159771263,17.5,572,0.975974394325955,0.185820821703601,86.6869699306091,1.63802309922167,0.148623279098874,11871
"51","Matt Ryan",2012,2008,0.926640724565164,0.215359121235425,88.2,6.12338159065233,13.3,743,0.905821684389687,0.103304957449785,80.730351371077,2.39272746788411,0.1603125,9661
"52","Josh Allen",2022,2018,0.924644562292469,0.172327864692616,91.8,1.27157055429406,15.4,754,0.972361552079109,0.177106759004031,86.2542631281762,2.1290907830839,0.136411332633788,5805
"53","Tony Romo",2014,NA,0.924180337154472,0.260516760021587,83.6,6.29371504609783,24.8,535,0.888452665955759,0.138554442608871,75.5349141455437,3.60954522236787,0.171518987341772,4927
"54","Philip Rivers",2018,2004,0.922378144116893,0.199480063328137,88.9,3.04706304081569,15,632,0.917394847674772,0.140416573109404,78.8187452677123,3.3383302806734,0.156499520919834,9390
"55","Aaron Rodgers",2012,2005,0.922304636405542,0.198253997247835,89,5.86940522809498,25.2,720,0.964422122476818,0.163827268420847,85.178209317524,2.99957662314051,0.206874802901293,10789
"56","Jayden Daniels",2024,2024,0.920696726328396,0.177841601550727,90.6,3.28689560976247,19.8,736,0.959360659908009,0.133575555742011,86.6910204081633,1.87613955043718,0.194366197183099,1078
"57","Tom Brady",2021,2000,0.920635894345233,0.165776961351105,91.7,1.22227898762476,16.6,849,0.975974394325955,0.185820821703601,86.6869699306091,1.63802309922167,0.148623279098874,11871
